x,y1,y2,z1,z2,z3
1,1.8,3,4,21,0.841470984807896
2,2.1,4,2,24,0.909297426825682
3,2.4,4,5,19,0.141120008059867
4,2.7,5,1,14,-0.756802495307928
5,3,6,5,23,-0.958924274663139
6,3.3,7,6,22,-0.279415498198926
7,3.6,7,1,18,0.656986598718789
8,3.9,8,3,16,0.989358246623382
9,4.2,8,7,24,0.412118485241757
10,4.5,8,3,14,-0.54402111088937
11,4.8,9,9,16,-0.999990206550704
12,5.1,9,10,13,-0.536572918000435
13,5.4,9,10,15,0.420167036826641
14,5.7,9,11,11,0.99060735569487
15,6,9,17,9,0.650287840157117
16,6.3,10,15,2,-0.287903316665065
17,6.6,11,12,7,-0.961397491879557
18,6.9,11,9,3,-0.750987246771676
19,7.2,12,10,4,0.149877209662952
20,7.5,13,20,1,0.912945250727628
21,7.8,15,12,0,0.836655638536056
22,8.1,15,17,-1,-0.008851309290404
23,8.4,17,14,-3,-0.846220404175171
24,8.7,19,23,-7,-0.905578362006624
25,9,19,21,-2,-0.132351750097773
26,9.3,20,26,0,0.762558450479603
27,9.6,21,19,1,0.956375928404503
28,9.9,21,16,-3,0.270905788307869
29,10.2,23,21,-4,-0.663633884212968
30,10.5,24,13,-1,-0.988031624092862
31,10.8,25,12,2,-0.404037645323065
32,11.1,26,26,-6,0.551426681241691
33,11.4,27,30,-4,0.999911860107267
34,11.7,29,21,-7,0.529082686120024
35,12,30,25,-9,-0.428182669496151
